Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,383.600006,384.200012,378.049988,380.850006,380.850006,123233
2018-07-11,381.000000,389.500000,378.299988,382.700012,382.700012,223292
2018-07-12,385.549988,390.350006,378.000000,381.299988,381.299988,184896
2018-07-13,380.500000,383.450012,371.250000,372.549988,372.549988,109252
2018-07-16,375.000000,375.000000,357.000000,358.350006,358.350006,126363
2018-07-17,358.350006,364.399994,356.250000,361.799988,361.799988,126305
2018-07-18,366.700012,374.700012,359.299988,361.149994,361.149994,358650
2018-07-19,362.000000,362.899994,351.799988,353.649994,353.649994,114357
2018-07-20,354.100006,361.700012,348.049988,358.700012,358.700012,199723
2018-07-23,360.500000,364.000000,353.549988,360.149994,360.149994,96284
2018-07-24,360.000000,367.700012,360.000000,366.200012,366.200012,129824
2018-07-25,368.000000,370.250000,361.899994,363.200012,363.200012,146190
2018-07-26,364.000000,366.000000,358.500000,361.799988,361.799988,97874
2018-07-27,363.000000,372.000000,362.000000,365.000000,365.000000,145349
2018-07-30,366.000000,379.200012,363.000000,372.350006,372.350006,587158
2018-07-31,372.000000,377.700012,366.549988,370.649994,370.649994,251541
2018-08-01,370.899994,377.250000,366.100006,368.450012,368.450012,224151
2018-08-02,370.000000,377.950012,366.000000,369.250000,369.250000,255021
2018-08-03,371.450012,376.000000,362.700012,364.750000,364.750000,238086
2018-08-06,365.799988,370.000000,357.750000,359.899994,359.899994,179712
2018-08-07,362.000000,365.000000,357.000000,358.149994,358.149994,90107
2018-08-08,358.200012,383.899994,357.000000,374.250000,374.250000,928577
2018-08-09,375.000000,383.799988,370.649994,373.399994,373.399994,213664
2018-08-10,371.100006,372.899994,362.000000,365.899994,365.899994,308699
2018-08-13,362.000000,367.850006,358.299988,361.850006,361.850006,96003
2018-08-14,362.250000,393.600006,360.100006,384.649994,384.649994,1415567
2018-08-16,382.200012,398.200012,378.350006,387.299988,387.299988,823433
2018-08-17,386.000000,398.750000,385.149994,388.750000,388.750000,548799
2018-08-20,388.899994,396.399994,387.000000,389.600006,389.600006,222327
2018-08-21,388.899994,404.350006,381.000000,395.299988,395.299988,1071296
2018-08-23,396.000000,401.450012,383.500000,384.899994,384.899994,511005
2018-08-24,385.500000,386.700012,374.000000,378.000000,378.000000,211972
2018-08-27,380.000000,381.700012,372.799988,374.000000,374.000000,133023
2018-08-28,375.000000,382.649994,372.200012,374.649994,374.649994,203580
2018-08-29,375.149994,383.850006,373.299988,377.899994,377.899994,252545
2018-08-30,376.299988,404.700012,376.299988,399.350006,399.350006,868171
2018-08-31,404.000000,413.700012,395.549988,401.049988,401.049988,1720865
2018-09-03,403.000000,409.649994,393.750000,396.100006,396.100006,640008
2018-09-04,396.950012,398.950012,383.149994,386.200012,386.200012,296206
2018-09-05,392.000000,404.899994,388.000000,395.250000,395.250000,718014
2018-09-06,397.250000,403.899994,390.100006,397.899994,397.899994,567280
2018-09-07,385.000000,393.399994,381.200012,383.549988,383.549988,875778
2018-09-10,382.000000,387.799988,376.899994,378.299988,378.299988,266137
2018-09-11,379.899994,387.899994,379.299988,381.549988,381.549988,389827
2018-09-12,377.750000,387.000000,375.500000,384.049988,384.049988,306707
2018-09-14,408.250000,414.000000,397.000000,400.899994,400.899994,1047006
2018-09-17,398.000000,406.950012,395.549988,397.100006,397.100006,397651
2018-09-18,397.899994,404.700012,385.000000,388.799988,388.799988,272681
2018-09-19,392.500000,394.250000,381.049988,383.649994,383.649994,217515
2018-09-21,385.399994,389.799988,332.000000,368.700012,368.700012,359180
2018-09-24,371.799988,372.000000,356.000000,358.850006,358.850006,152700
2018-09-25,359.200012,371.000000,353.000000,362.399994,362.399994,267813
2018-09-26,365.000000,365.649994,355.350006,357.250000,357.250000,166762
2018-09-27,357.100006,364.950012,356.700012,360.750000,360.750000,156434
2018-09-28,360.750000,367.000000,338.000000,342.500000,342.500000,258818
2018-10-01,341.350006,341.350006,322.399994,336.000000,336.000000,261562
2018-10-03,338.000000,339.399994,330.850006,332.600006,332.600006,164556
2018-10-04,327.799988,328.049988,313.850006,318.450012,318.450012,158375
2018-10-05,318.000000,338.799988,313.250000,319.149994,319.149994,393397
2018-10-08,319.149994,320.850006,299.000000,303.500000,303.500000,240532
2018-10-09,306.000000,311.000000,298.000000,301.100006,301.100006,230840
2018-10-10,302.649994,313.899994,300.000000,311.049988,311.049988,207867
2018-10-11,301.149994,315.000000,295.000000,306.850006,306.850006,157534
2018-10-12,309.899994,315.899994,307.649994,312.049988,312.049988,131034
2018-10-15,313.350006,319.000000,310.000000,316.649994,316.649994,121374
2018-10-16,318.000000,324.500000,317.000000,318.750000,318.750000,87010
2018-10-17,322.799988,323.500000,305.100006,306.799988,306.799988,100762
2018-10-19,307.000000,310.850006,300.000000,306.000000,306.000000,115863
2018-10-22,308.000000,308.899994,300.000000,301.000000,301.000000,81368
2018-10-23,298.000000,300.649994,286.000000,288.100006,288.100006,99247
2018-10-24,292.000000,296.149994,287.000000,294.149994,294.149994,97326
2018-10-25,291.799988,297.950012,289.600006,295.649994,295.649994,73989
2018-10-26,295.649994,298.000000,287.850006,290.000000,290.000000,72479
2018-10-29,292.350006,303.899994,289.049988,300.799988,300.799988,153458
2018-10-30,312.899994,314.700012,298.100006,299.600006,299.600006,411522
2018-10-31,300.899994,302.549988,290.500000,296.200012,296.200012,325495
2018-11-01,297.450012,301.899994,292.149994,293.200012,293.200012,225252
2018-11-02,295.350006,298.000000,293.000000,294.350006,294.350006,154928
2018-11-05,294.350006,296.850006,290.549988,293.100006,293.100006,82734
2018-11-06,294.649994,296.399994,288.350006,289.450012,289.450012,142835
2018-11-07,292.000000,293.600006,291.000000,292.250000,292.250000,23858
2018-11-09,293.000000,300.899994,290.000000,295.950012,295.950012,267130
2018-11-12,297.750000,297.899994,288.250000,289.500000,289.500000,176004
2018-11-13,289.000000,290.399994,281.000000,282.500000,282.500000,179521
2018-11-14,283.500000,283.500000,272.500000,273.799988,273.799988,196240
2018-11-15,273.799988,277.299988,267.000000,270.799988,270.799988,178351
2018-11-16,272.000000,279.799988,268.950012,270.299988,270.299988,217771
2018-11-19,273.799988,278.000000,273.049988,276.450012,276.450012,93385
2018-11-20,275.899994,284.000000,272.000000,273.100006,273.100006,231292
2018-11-21,272.799988,276.299988,272.000000,273.450012,273.450012,110282
2018-11-22,273.299988,275.500000,272.250000,272.850006,272.850006,52117
2018-11-26,283.049988,286.899994,275.000000,275.950012,275.950012,274030
2018-11-27,279.000000,282.000000,257.500000,266.950012,266.950012,447246
2018-11-28,268.000000,268.000000,256.000000,257.000000,257.000000,266704
2018-11-29,257.100006,258.450012,250.000000,252.100006,252.100006,209401
2018-11-30,253.000000,261.500000,251.000000,260.000000,260.000000,279894
2018-12-03,254.050003,255.550003,245.000000,248.500000,248.500000,548911
2018-12-04,251.500000,253.000000,237.000000,238.800003,238.800003,371251
2018-12-05,237.199997,242.449997,218.100006,222.899994,222.899994,811114
2018-12-06,221.550003,227.199997,209.000000,211.149994,211.149994,878426
2018-12-07,212.350006,214.399994,199.550003,200.850006,200.850006,654797
2018-12-10,195.300003,207.000000,194.250000,200.500000,200.500000,516078
2018-12-11,196.350006,209.850006,195.100006,204.199997,204.199997,753440
2018-12-12,205.449997,213.000000,205.000000,212.199997,212.199997,410494
2018-12-13,210.600006,217.000000,208.000000,211.149994,211.149994,419497
2018-12-14,211.100006,213.300003,208.449997,209.649994,209.649994,149180
2018-12-17,210.250000,213.750000,208.000000,209.050003,209.050003,142565
2018-12-18,208.899994,215.399994,207.550003,209.699997,209.699997,417630
2018-12-19,211.000000,213.000000,208.500000,209.399994,209.399994,208250
2018-12-20,209.000000,211.000000,208.500000,209.149994,209.149994,232566
2018-12-21,209.649994,214.600006,204.199997,208.000000,208.000000,760465
2018-12-24,209.300003,212.899994,202.199997,203.850006,203.850006,382473
2018-12-26,202.699997,202.699997,198.250000,199.399994,199.399994,279926
2018-12-27,202.000000,204.100006,192.600006,194.100006,194.100006,485240
2018-12-28,196.199997,197.100006,189.500000,190.350006,190.350006,840129
2018-12-31,191.000000,192.750000,187.199997,188.050003,188.050003,736319
2019-01-01,187.050003,193.750000,187.050003,189.250000,189.250000,773652
2019-01-02,189.899994,193.100006,188.250000,190.350006,190.350006,731913
2019-01-03,190.500000,191.649994,181.800003,183.050003,183.050003,537344
2019-01-04,183.600006,187.500000,179.000000,185.600006,185.600006,614098
2019-01-07,187.000000,187.300003,181.449997,182.600006,182.600006,265565
2019-01-08,181.050003,188.550003,180.850006,186.800003,186.800003,798172
2019-01-09,186.699997,192.000000,185.399994,186.500000,186.500000,727309
2019-01-10,187.000000,188.949997,186.000000,188.100006,188.100006,315801
2019-01-11,187.050003,189.399994,182.500000,183.500000,183.500000,418270
2019-01-14,190.199997,191.800003,182.750000,184.000000,184.000000,1069520
2019-01-15,183.250000,185.899994,181.399994,182.800003,182.800003,396841
2019-01-16,183.800003,183.800003,177.050003,178.500000,178.500000,538117
2019-01-17,179.000000,180.199997,170.899994,171.699997,171.699997,723118
2019-01-18,172.350006,172.899994,145.000000,148.250000,148.250000,8363612
2019-01-21,146.949997,177.899994,146.899994,174.449997,174.449997,12752965
2019-01-22,177.399994,186.800003,175.100006,176.800003,176.800003,9235937
2019-01-23,176.000000,179.199997,169.149994,172.699997,172.699997,4266008
2019-01-24,174.100006,177.800003,166.300003,171.949997,171.949997,1758169
2019-01-25,173.600006,175.949997,167.000000,167.949997,167.949997,746036
2019-01-28,167.949997,168.699997,160.000000,166.199997,166.199997,590638
2019-01-29,168.500000,168.899994,160.500000,161.649994,161.649994,795890
2019-01-30,163.300003,165.000000,156.600006,157.500000,157.500000,616715
2019-01-31,160.399994,160.399994,154.750000,157.050003,157.050003,549037
2019-02-01,156.149994,163.800003,153.500000,157.949997,157.949997,692099
2019-02-04,157.600006,158.350006,149.300003,153.550003,153.550003,527442
2019-02-05,149.550003,151.850006,143.000000,147.399994,147.399994,749601
2019-02-06,149.000000,149.899994,140.699997,142.949997,142.949997,544306
2019-02-07,144.000000,154.899994,144.000000,147.850006,147.850006,2153153
2019-02-08,144.199997,147.850006,143.000000,145.199997,145.199997,570893
2019-02-11,146.000000,154.800003,144.000000,152.100006,152.100006,1180587
2019-02-12,153.050003,157.899994,151.149994,156.199997,156.199997,919041
2019-02-14,159.000000,168.399994,155.350006,167.199997,167.199997,881113
2019-02-15,167.199997,168.500000,160.100006,163.449997,163.449997,505621
2019-02-18,165.000000,165.800003,158.149994,159.100006,159.100006,251815
2019-02-19,158.949997,161.699997,156.000000,156.750000,156.750000,255864
2019-02-20,158.000000,161.899994,157.050003,160.850006,160.850006,301200
2019-02-21,162.000000,166.800003,160.000000,165.000000,165.000000,549905
2019-02-22,162.649994,173.800003,162.649994,168.250000,168.250000,997258
2019-02-25,170.000000,176.000000,168.899994,174.000000,174.000000,586304
2019-02-26,171.550003,173.699997,165.699997,170.449997,170.449997,483619
2019-02-27,171.100006,179.899994,171.100006,173.399994,173.399994,1436965
2019-02-28,173.199997,179.800003,173.199997,178.300003,178.300003,559242
2019-03-01,179.000000,186.500000,177.500000,185.449997,185.449997,735839
2019-03-05,185.000000,192.000000,185.000000,187.100006,187.100006,905190
2019-03-06,187.250000,199.899994,181.350006,195.750000,195.750000,4281105
2019-03-07,195.449997,198.449997,188.050003,189.500000,189.500000,1199028
2019-03-08,188.899994,195.500000,187.250000,191.649994,191.649994,824857
2019-03-11,192.800003,196.600006,191.300003,194.699997,194.699997,597049
2019-03-12,196.000000,203.000000,194.800003,196.699997,196.699997,1244930
2019-03-13,198.000000,203.800003,191.199997,193.199997,193.199997,1133233
2019-03-14,194.000000,200.649994,194.000000,197.350006,197.350006,1109732
2019-03-15,197.699997,203.000000,196.699997,200.350006,200.350006,1285679
2019-03-18,200.550003,203.899994,198.050003,199.600006,199.600006,808743
2019-03-19,200.350006,203.800003,196.050003,196.949997,196.949997,623702
2019-03-20,198.000000,199.000000,194.100006,195.300003,195.300003,347141
2019-03-22,196.000000,197.600006,190.100006,191.449997,191.449997,321076
2019-03-25,190.000000,190.750000,186.350006,188.050003,188.050003,187833
2019-03-26,188.000000,189.850006,185.649994,186.699997,186.699997,320070
2019-03-27,187.000000,196.000000,187.000000,192.449997,192.449997,908547
2019-03-28,194.199997,198.500000,192.949997,194.649994,194.649994,647260
2019-04-01,192.949997,197.300003,192.649994,193.899994,193.899994,300881
2019-04-02,193.300003,197.850006,188.000000,188.899994,188.899994,938922
2019-04-03,189.500000,191.750000,185.000000,186.550003,186.550003,317390
2019-04-04,187.449997,189.800003,182.000000,184.750000,184.750000,306261
2019-04-05,186.449997,187.750000,178.949997,183.600006,183.600006,230201
2019-04-08,184.850006,186.949997,181.149994,182.800003,182.800003,277987
2019-04-09,182.500000,184.399994,180.600006,183.649994,183.649994,283769
2019-04-10,183.800003,189.000000,183.050003,185.600006,185.600006,483951
2019-04-11,185.600006,186.050003,183.500000,184.399994,184.399994,146642
2019-04-12,185.300003,185.899994,182.600006,183.449997,183.449997,108305
2019-04-15,184.300003,186.800003,182.050003,183.350006,183.350006,197719
2019-04-16,184.800003,186.750000,183.100006,183.699997,183.699997,274314
2019-04-18,184.100006,184.649994,178.500000,180.000000,180.000000,252715
2019-04-22,179.300003,179.600006,175.000000,175.550003,175.550003,117657
2019-04-23,175.550003,180.449997,173.149994,178.050003,178.050003,342240
2019-04-24,178.800003,181.050003,178.000000,179.100006,179.100006,151765
2019-04-25,180.100006,180.899994,173.949997,175.149994,175.149994,183190
2019-04-26,175.149994,177.500000,173.500000,174.250000,174.250000,157808
2019-04-30,174.250000,174.250000,164.949997,168.199997,168.199997,210224
2019-05-02,168.800003,171.199997,165.100006,167.899994,167.899994,198815
2019-05-03,168.500000,169.449997,165.250000,168.300003,168.300003,125024
2019-05-06,165.500000,171.699997,165.500000,168.300003,168.300003,180922
2019-05-07,168.449997,170.199997,159.649994,163.550003,163.550003,1036858
2019-05-08,163.550003,163.550003,155.399994,156.800003,156.800003,294343
2019-05-09,153.500000,158.000000,153.300003,157.149994,157.149994,144511
2019-05-10,158.100006,160.399994,153.250000,155.850006,155.850006,214061
2019-05-13,154.500000,154.699997,130.000000,146.399994,146.399994,722824
2019-05-14,147.000000,150.850006,142.550003,148.449997,148.449997,430920
2019-05-15,149.899994,150.699997,142.350006,143.800003,143.800003,210130
2019-05-16,144.000000,148.699997,137.949997,147.750000,147.750000,524901
2019-05-17,148.000000,149.600006,145.050003,148.300003,148.300003,198485
2019-05-20,151.899994,152.100006,145.800003,146.300003,146.300003,326067
2019-05-21,148.000000,151.300003,144.149994,145.250000,145.250000,406567
2019-05-22,146.000000,149.000000,143.550003,146.050003,146.050003,303406
2019-05-23,148.000000,149.449997,142.500000,143.350006,143.350006,214341
2019-05-24,143.699997,147.699997,142.750000,146.550003,146.550003,285665
2019-05-27,148.949997,159.300003,146.600006,158.250000,158.250000,883224
2019-05-28,159.050003,161.899994,155.100006,156.449997,156.449997,804150
2019-05-29,154.000000,157.000000,151.399994,152.100006,152.100006,467812
2019-05-30,151.500000,154.449997,151.199997,151.949997,151.949997,179839
2019-05-31,152.850006,153.300003,146.100006,148.250000,148.250000,193627
2019-06-03,148.250000,148.449997,144.000000,144.300003,144.300003,271929
2019-06-04,142.000000,145.449997,141.500000,142.250000,142.250000,257289
2019-06-06,143.000000,143.449997,138.000000,138.649994,138.649994,220987
2019-06-07,138.649994,139.250000,134.250000,135.850006,135.850006,211448
2019-06-10,136.899994,141.699997,131.050003,138.300003,138.300003,400689
2019-06-11,140.000000,140.850006,135.550003,137.550003,137.550003,331046
2019-06-12,137.449997,142.399994,135.600006,137.750000,137.750000,271737
2019-06-13,137.399994,137.949997,134.500000,136.300003,136.300003,154674
2019-06-14,137.350006,137.350006,132.149994,133.399994,133.399994,280245
2019-06-17,133.399994,134.899994,128.600006,129.649994,129.649994,176890
2019-06-18,129.649994,130.300003,122.400002,123.900002,123.900002,222187
2019-06-19,124.000000,124.699997,116.500000,119.699997,119.699997,392622
2019-06-20,119.949997,123.750000,114.449997,123.050003,123.050003,488158
2019-06-21,122.050003,122.449997,119.650002,121.349998,121.349998,213884
2019-06-24,123.000000,123.000000,119.250000,120.349998,120.349998,185973
2019-06-25,120.000000,120.000000,117.599998,119.349998,119.349998,219368
2019-06-26,120.000000,123.699997,118.000000,118.849998,118.849998,1034875
2019-06-27,119.000000,121.199997,116.750000,117.500000,117.500000,756824
2019-06-28,119.000000,121.000000,115.500000,116.099998,116.099998,615033
2019-07-01,116.250000,120.599998,113.349998,115.199997,115.199997,630996
2019-07-02,116.099998,116.500000,113.599998,114.349998,114.349998,225679
2019-07-03,114.400002,118.000000,112.300003,115.050003,115.050003,643504
2019-07-04,115.000000,119.599998,115.000000,118.599998,118.599998,425999
2019-07-05,119.400002,120.199997,116.000000,117.199997,117.199997,390118
2019-07-08,117.949997,117.949997,113.000000,113.349998,113.349998,319711
2019-07-09,113.500000,122.000000,112.599998,118.650002,118.650002,1668775
